id,song,composer,illustrator,EZ,HD,IN,AT
Glaciaxion.SunsetRay,Glaciaxion,SunsetRay,艾若拉,Barbarianerman,Arenn Saki,Barbarianerman vs. NerSAN,
EradicationCatastrophe.NceS,Eradication Catastrophe,NceS,海产,Barbarianerman,Barbarianerman,Barbarianerman,
Credits.Frums,Credits,Frums,Ctymax,Ctymax,Ctymax,Ctymax,_鉄 (Isotope 59)
Dlyrotz.Likey,Dlyrotz,Likey,DoublePian,Su1fuR,Su1fuR,XMT小咩兔 vs Barbarianerman,
EnginexStartmelodymix.CrossingSound,Engine x Start!! (melody mix),CrossingSound,赤芽,Arenn Saki&Catcats,Arenn Saki&Catcats,Arenn Saki&Catcats,
光.姜米條,光,姜米條,winder,Catcats & 百九十八,Catcats & 百九十八,Catcats & 百九十八,
Wintercube.CtymaxfeatNceS,Winter ↑cube↓,Ctymax feat. NceS,翠冷兮,小鹏 fixed by Barbarianerman,小鹏 fixed by Barbarianerman,百九十八,
Cipher20.TetrajectoryfeatCtymax,Cipher : /2&//<|0,Tetrajectory feat.Ctymax,IvyTowers,M3d1uM,M3d1uM,Barbarianerman feat. Gausbon,
混乱Confusion.OnlyMyBlackScore,混乱-Confusion,OnlyMyBlackScore,L-sp4,月下樱&115,月下樱&115,XMT小咩兔,
FULiAUTOSHOOTER.MYUKKE,FULi AUTO SHOOTER,MYUKKE.,ViscerA & Psycholine,AUTO. SHOOTER.,AUTO. SHOOTER.,AUTO. SHOOTER. fixed by Ctymax,
HumaN.SOTUI,HumaN,SOTUI,CH,阿爽,阿爽,CN_115+TangScend,
PRAW.Bluewind,[PRAW],Bluewind,老张,阿爽,阿爽,晨 vs. 阿爽,
PixelRebelz.Normal1zer,Pixel Rebelz,Normal1zer,艾是Abby,阿爽,阿爽,NerSAN,
Cereris.SunsetRayNceS,Cereris,SunsetRay/NceS,IvyTowers,Su1fuR,Su1fuR,StupiGGy,
NonMelodicRagezMUGEdit.Normal1zer,Non-Melodic Ragez (MUG Edit),Normal1zer,cycats,Clutter,Clutter,分化者 fixed by Barbarianerman,
SultanRage.MonstDeath,Sultan Rage,MonstDeath,笔记RE,百九十八,百九十八,百九十八,
ClassMemories.AntistarfeatCtymax,Class Memories,Antistar feat. Ctymax,xperz,M3d1uM,M3d1uM,JKy,
SURREALISM.Itsuki,-SURREALISM-,Itsuki,喵n葵,Su1fuR,Su1fuR,-StupiGGy- fixed by 晨,
BonusTime.MegaloPaleWhite,Bonus Time,Megalo_PaleWhite,笔记RE,Uvernight fixed by Barbarianerman,Uvernight fixed by Barbarianerman,Uvernight fixed by 百九十八,
ENERGYSYNERGYMATRIX.Tanchiky,ENERGY SYNERGY MATRIX,Tanchiky,Karameru,Su1fuR,Su1fuR,B B M pow,
NYA.FLuoRiTe姜米條,NYA!!! (Phigros ver.),FLuoRiTe/姜米條,NEKO&海产,HCC!!!,HCC!!!,HCC!!!,
JunXionBetweenLifeAndDeathVIPMix.1N6Fs,JunXion Between Life And Death(VIP Mix),1N6Fs,IvyTowers,鲲&百九十八,鲲&百九十八,鲲&百九十八,
cryout.JuE,cryout,Ju_E,Haight,Ctymax,Ctymax,Ctymax,
Reimei.影虎,Reimei,影虎。,英英英,百九十八,百九十八,百九十八,
尊師TheGuru.rider,尊師 ～The Guru～,rider,1B,M3d1uM,M3d1uM,奥術 ~The Empery~,
Spasmodic.姜米條颶風元力上人,Spasmodic,姜米條☆颶風 ~ ♫元力上人♫,昔璃☆暴雨 ~ ♫危難聖帝♫,無極☆雷鳴 ~ ♫死の序曲♫,無極☆雷鳴 ~ ♫死の序曲♫,無極☆雷鳴 ~ ♫死の序曲♫,無極☆雷鳴 ~ ♫死の序曲♫
LeaveAllBehind.rider,Leave All Behind,rider,笔记RE,亚树见希子 & 百九十八,亚树见希子 & 百九十八,亚树见希子 & 百九十八,
ColorfulDays.P4koofeatつゆり花鈴,Colorful Days♪,P4koo feat. つゆり花鈴,Doro-nyong & Ratif,阿♪爽,阿♪爽,阿♪爽,
microwav.dandeless,micro.wav,dandeless,snake.ribs,百九十八,百九十八,百九十八,
重生.姜米條,重生,姜米條,昔璃&TNiK,Barbarianerman,Barbarianerman,Barbarianerman,
NOONEYESMAN.MYUKKE,NO ONE YES MAN,MYUKKE.,青鸟,Ctymax,晨,晨 vs. Ctymax,
望影の方舟Six.SeURa,望影の方舟Six,Se-U-Ra,鲸弑,六回目Traveler Scend,六回目Traveler Scend,"六回目Traveler Scend as ""Knight of Arq""",
Igallta.SeURa,Igallta,Se-U-Ra,Se-U-Ra,信仰の剣『生』,平川の剣『士』,夜明の剣『靈』,断罪の剣『神』
ClockParadox.WyvernP,Clock Paradox,WyvernP,汉堡,Barbarianerman vs. Alloces,Barbarianerman vs. Alloces,Barbarianerman vs. Alloces,
Chronologika.Hundotte,Chronologika,Hundotte,幽灵星,TimiTini,XMT小咩兔,Ctymax vs. Barbarianerman,
NickofTime.P4koo,Nick of Time,P4koo,青鸟,晨 vs. XMT小咩兔,晨 vs. XMT小咩兔,NerSAN,
Chronomia.Lime,Chronomia,Lime,inukoro,Pcat,Rikko,時の希 & 百九十八,
ChronosCollapseLaCampanella.SunsetRay,Chronos Collapse - La Campanella,SunsetRay,老张,Pcat『Scatter』,阿爽『Destroy』,NerSAN vs. 阿爽 『Collapse』,
Rrharil.TeamGrimoire,Rrhar'il,Team Grimoire,犀牛坨动画工坊,RDRT -p 19:08:31,RDRT -p 20:02:21,RDRT -p 20:08:31,RWND -p 16493:62786:92551
CraveWave.LandRoot,Crave Wave,LandRoot,笔记RE,Likey,Likey,Likey feat. 198,
TheChariotREVIIVAL.Attoclef,The Chariot ~REVIIVAL~,Attoclef,翠冷兮,M3d1uM,Alloces,Ctymax drives in BlindForest,
Luminescence.米虾Fomiki初云CLoudie,Luminescence,米虾Fomiki & 初云CLoudie,子狼,XMT小咩兔,XMT小咩兔,Pcat & 百九十八,
Retribution.nmyKryexe,Retribution,nm-y & Kry.exe,NerSAN,NerSAN,NerSAN,"Ner as ""SPΔDE""",
DESTRUCTION321.Normal1zervsBrokenNerdz,"DESTRUCTION 3,2,1",Normal1zer vs. Broken Nerdz,rN,"{Demolition,Devastation,Destruction}","{Devastation,Destruction}",{Destruction},∅
DistortedFate.Sakuzyo,Distorted Fate,Sakuzyo,knife美工刀,De Fiance,Doubt Ful,Divination Fortune,unDefined Future
Doppelganger.LeaF,Doppelganger,LeaF,海产,Lumiere,Lumiere,Gausbon,
もぺもぺ.LeaF,もぺもぺ,LeaF,cycat,阿爽 fixed by Barbarinerman,阿爽 fixed by Barbarinerman,阿爽,阿爽
MARENOL.LeaF,MARENOL,LeaF,喵n葵,H.C.C. fixed by Barbarinerman,H.C.C. fixed by Barbarinerman,百九十八,
萤火虫の怨.闫东炜,萤火虫の怨,闫东炜,L-sp4,阿爽 & 百九十八,阿爽 & 百九十八,阿爽 & 百九十八,
