id,EZ,HD,IN,AT
Glaciaxion.SunsetRay,1.0,6.5,12.5,
EradicationCatastrophe.NceS,3.5,7.5,12.7,
Credits.Frums,4.5,10.4,13.7,15.5
Dlyrotz.Likey,4.0,9.4,13.7,
EnginexStartmelodymix.CrossingSound,2.5,8.6,13.4,
光.姜米條,2.5,7.5,12.8,
Wintercube.CtymaxfeatNceS,3.5,8.2,13.4,
Cipher20.TetrajectoryfeatCtymax,5.5,9.7,14.4,
混乱Confusion.OnlyMyBlackScore,4.0,10.6,14.8,
FULiAUTOSHOOTER.MYUKKE,3.0,9.4,14.8,
HumaN.SOTUI,3.0,8.1,12.9,
PRAW.Bluewind,6.0,10.6,15.1,
PixelRebelz.Normal1zer,4.0,10.3,15.1,
Cereris.SunsetRayNceS,5.5,10.9,14.8,
NonMelodicRagezMUGEdit.Normal1zer,5.5,11.8,15.7,
SultanRage.MonstDeath,4.0,7.0,12.3,
ClassMemories.AntistarfeatCtymax,6.0,10.4,13.8,
SURREALISM.Itsuki,5.0,9.4,13.4,
BonusTime.MegaloPaleWhite,3.5,9.5,14.2,
ENERGYSYNERGYMATRIX.Tanchiky,5.5,11.5,14.4,
NYA.FLuoRiTe姜米條,2.0,8.6,13.1,
JunXionBetweenLifeAndDeathVIPMix.1N6Fs,3.0,8.7,13.3,
cryout.JuE,4.5,9.9,13.8,
Reimei.影虎,7.0,11.9,15.1,
尊師TheGuru.rider,6.0,11.6,15.2,
Spasmodic.姜米條颶風元力上人,8.2,13.3,15.2,16.3
LeaveAllBehind.rider,3.0,8.9,12.7,
ColorfulDays.P4koofeatつゆり花鈴,5.0,7.0,12.7,
microwav.dandeless,6.0,10.7,14.6,
重生.姜米條,4.5,8.8,14.4,
NOONEYESMAN.MYUKKE,6.5,10.9,15.4,
望影の方舟Six.SeURa,6.5,12.1,15.7,
Igallta.SeURa,7.5,12.7,15.7,16.7
ClockParadox.WyvernP,2.5,6.0,12.6,
Chronologika.Hundotte,3.5,9.8,13.8,
NickofTime.P4koo,5.0,8.1,14.6,
Chronomia.Lime,4.5,11.1,15.3,
ChronosCollapseLaCampanella.SunsetRay,3.0,11.5,15.9,
Rrharil.TeamGrimoire,7.0,12.7,15.7,16.8
CraveWave.LandRoot,3.5,8.4,13.6,
TheChariotREVIIVAL.Attoclef,5.0,9.5,14.1,
Luminescence.米虾Fomiki初云CLoudie,5.5,11.2,14.5,
Retribution.nmyKryexe,6.0,11.6,15.8,
DESTRUCTION321.Normal1zervsBrokenNerdz,8.5,13.1,15.8,16.6
DistortedFate.Sakuzyo,8.1,13.5,15.9,16.7
Doppelganger.LeaF,5.0,9.8,14.8,
もぺもぺ.LeaF,2.0,6.5,11.1,14.9
MARENOL.LeaF,2.0,10.2,14.2,
萤火虫の怨.闫东炜,4.5,10.6,13.1,
万吨匿名信.闫东炜,5.5,9.7,13.3,
风屿.闫东炜,6.0,10.3,13.9,14.8
dBdoll.YUESTEVENuen,1.5,3.5,8.3,13.6
Dash.小红Akane李祥辉,2.5,5.5,9.7,
云女孩.符白牙SiYFics,3.0,9.9,12.6,
DropIt.Asuka,4.0,9.6,14.3,
RIPPER.Friedwav,7.5,11.2,15.2,
Aphasia.闫东炜,4.0,8.8,13.1,
开心病.闫东炜,6.0,11.5,14.2,
華灯爱.闫东炜,6.0,10.5,14.1,
FindMe.Kforest,5.5,10.5,14.4,
Sein.朔Apo11oprogramvsお月さま交響曲ftkuroa荒巻,4.5,9.8,14.9,
狂喜蘭舞.LeaF,7.0,11.7,14.5,16.1
SparkleNewLife.rider,4.0,9.2,12.8,
KhronostasisKatharsis.Halv,5.5,11.6,14.2,
SnowDesert.WyvernP,5.0,10.3,13.3,
Burn.NceS,6.0,10.6,14.9,
Aleph0.LeaF,3.5,12.2,15.7,
NextTime.SaMZIng,6.0,9.2,12.6,
RubbishSorting.CtymaxvsNceS,3.5,9.4,13.2,
AnotherMe.NeutralMoon,5.5,9.2,13.6,
mechanted.rareguy,2.5,11.3,14.7,
lifeflashesbeforeweebeyes.BilliumMoto,6.5,11.9,14.8,
BreakThroughTheBarrier.lixound,5.5,10.1,14.5,
Chronostasis.黒皇帝,6.5,11.2,15.8,
DeadSoul.SoundSouler,4.5,11.7,14.4,
InfinityHeaven.HyuN,3.5,8.4,13.9,
Disorder.HyuNfeatYURI,5.5,9.8,14.7,
CROSSSOUL.HyuNfeatSyepias,7.5,12.8,15.9,
SpeedUp.DarTokki,4.5,10.3,14.3,
MagentaPotion.EmoCo,6.5,11.3,14.5,
GetBack.CAP3,6.5,11.4,14.1,
Palescreen.WyvernPfeatMadol,5.5,12.3,15.7,
GOODTEK.EBIMAYO,5.5,10.8,14.1,
GOODBOUNCE.EBIMAYO,6.5,11.6,14.4,
GOODWORLD.EBIMAYO,3.0,11.4,14.7,
GOODFORTUNE.EBIMAYO,7.5,8.7,15.4,
GOODRAGE.EBIMAYO,4.5,8.2,15.7,
TheMountainEater.PaulBazooka,5.5,9.1,14.6,
Orthodox.tokiwa,4.5,10.6,14.1,
EndMe.ZxNXasDelaina,6.0,7.5,14.1,
ParallelRetrogressionGameVer.Tetrajectory,7.0,10.7,14.4,
Starduster.Quree,5.5,11.4,15.1,
Electron.ElousFZ,3.5,10.4,13.2,
SIGMA.Kryexe,5.0,11.5,15.6,
HardcoreKwaya.EnFr,4.5,8.5,14.6,
Aventyr.GrandThawRigelTheatre,3.0,9.4,13.7,
Trane.MALVA,1.5,6.5,14.2,
雪降りメリクリ.A39,5.5,10.4,15.3,
CervelleConnexion.SCTL,5.0,11.3,14.5,
modulus.PTB10,3.5,10.1,14.7,
